Position	Character	Player	Time	Time (array)	Speedrun video:	"Post date (dd/mm/yyyy)
"
1	Dio	Suv	03:12	192,00	https://www.youtube.com/watch?v=arAXt79Tcgc	01/04/2026
2	Elesis	sangpill	03:16	196,00	https://www.youtube.com/watch?v=KNUorD0FUmA	30/03/2026
3	Zero	P1ke	03:24	204,00	https://www.youtube.com/watch?v=AaR2V14ZLwg	23/05/2025
4	Ronan	Aresius	03:38	218,00	https://www.youtube.com/watch?v=DQTllMzYor0	26/03/2026
5	Ley/Rey	Hoey Ryoon	03:39	219,00	https://www.youtube.com/watch?v=A1ExlzcBreE	13/11/2025
6	Ryan	meaninglessspider	03:40	220,00	https://www.youtube.com/watch?v=HwtwkTNpfLE	31/01/2026
7	Sieghart	Prolapsador	03:47	227,00	https://www.youtube.com/watch?v=SaYJ0RD0mHg	25/10/2025
8	Lime/Holy	LimeLimonada	03:59	239,00	https://www.youtube.com/watch?v=xt6mSXBnvmk	31/03/2026
9	Lass	xandindj	04:02	242,00	https://www.youtube.com/watch?v=EU82z3Nv8wc	20/01/2026
10	Decanee	Patata	04:05	245,00	https://www.youtube.com/watch?v=0hL_cegLPKQ	02/04/2026
11	Edel	lethegc	04:57	297,00	https://www.youtube.com/watch?v=NbQT2mxS0AE	24/11/2025
12	Arme	GCLabs	05:04	304,00	https://www.youtube.com/watch?v=xLwCthoZXvA	05/08/2025
13	Amy	Sistina	05:24	324,00	https://www.youtube.com/watch?v=yzmAfuRzca8	01/03/2025
	Lire					
	Jin					
	Mari					
	Rufus/Lupus					
	D-Rin					
	L-Rin					
	Asin					
	Veigas					
	Ai					
	Kallia					
	Uno					
	Iris					
