Position	Character	Player	Time	Time (array)	Speedrun video:	"Post date (dd/mm/yyyy)
"
1	Dio	Syntaxii	01:06	66,00	https://www.youtube.com/watch?v=qNmQLkuX_NM	02/04/2026
2	Rufus/Lupus	xandindj	01:50	110,00	https://www.youtube.com/watch?v=LgH58tDeyg8	31/03/2026
	Zero					
	Ley/Rey					
	Veigas					
